,date,content,content_type,user,url
0,2021-07-25 09:22:13+00:00,"@mebank Making beautiful banking and helping Australians get ahead. 
What a joke when you expect customers to go out and do 4 tap n go during COVID restrictions &amp; lock downs in order to earn their bonus interest or lose it. https://t.co/rFxPu7ur6i",twitter/mention,sandybeech4,https://twitter.com/sandybeech4/status/1419226470535241729
1,2021-07-24 01:09:02+00:00,"So @mebank made me come all the way to police station to get some documents attested, as they wanted it from Police not JP, but would not send me a letter or talk to the officer, and won’t unlock my account till it done. What rubbish bank total harassment",twitter/mention,TheDadhiwala,https://twitter.com/TheDadhiwala/status/1418739969493934084
2,2021-07-23 13:21:12+00:00,@mebank So... do you have a timeframe when is Prefill going to be sent to the ATO?,twitter/mention,spikeuk1982,https://twitter.com/spikeuk1982/status/1418561839017775109
3,2021-07-22 23:39:22+00:00,@mebank How do you justify taking 3 weeks to generate an EOFY Home Loan statement? I had thought that was legally required. Higher than usual demand seems to be the catchphrase you use for anything.,twitter/mention,heathwilder,https://twitter.com/heathwilder/status/1418355017472348162
4,2021-07-22 10:15:06+00:00,"Congrats to Ella Van De Velde Fidock, Registered Nurse at #GCUH. She’s a FINALIST for our 2021 Positive Practice Environment Champion Award – proudly supported by @mebank! Read more about Ella’s work: https://t.co/xAQU3aVVAt 

#QNMUAwards @GC_Health https://t.co/BhijgIJ1lB",twitter/mention,qnmuofficial,https://twitter.com/qnmuofficial/status/1418152617352568833
5,2021-07-22 06:58:58+00:00,"@mebank hey Andy, I spoke to one already and he essentially said, too bad this is the best we've got. Also, the member package feels like a bit of a scam. But hey, that's banks.",twitter/mention,EllisonAmy,https://twitter.com/EllisonAmy/status/1418103256803282946
6,2021-07-22 05:01:02+00:00,@EllisonAmy @mebank I switched to @bankaust about 18 months ago and have been happy with the service. They invest their funds ethically and offered us a 2.7% home loan interest rate. Would recommend.,twitter/mention,lukedastoli,https://twitter.com/lukedastoli/status/1418073580814815237
7,2021-07-22 04:47:47+00:00,@ChrisBinney @mebank The worstttttttttt and when you go to transfer you can't see the balance in the account you're transferring from. Have the people that designed the app ever used online banking before?,twitter/mention,EllisonAmy,https://twitter.com/EllisonAmy/status/1418070246296981507
8,2021-07-22 04:26:52+00:00,@EllisonAmy @mebank Go with @UBank 2.34%,twitter/mention,rezntoumos,https://twitter.com/rezntoumos/status/1418064979748478987
9,2021-07-22 04:18:03+00:00,@EllisonAmy @mebank How bad is that app! So slow,twitter/mention,ChrisBinney,https://twitter.com/ChrisBinney/status/1418062763314728966
10,2021-07-22 04:12:24+00:00,"If the @mebank app wasn't enough of a reason to ditch them their variable home loan rate for existing customers sure is. 3.80% you are kidding me.
I'll be looking to scrap them for all banking ASAP.",twitter/mention,EllisonAmy,https://twitter.com/EllisonAmy/status/1418061340308951042
11,2021-07-21 22:38:21+00:00,".@BOQ appoints @mebank director to board @ChrisDastoor reports 

https://t.co/jtYVImZHIT",twitter/mention,moneymanage,https://twitter.com/moneymanage/status/1417977272275935234
12,2021-07-20 04:37:00+00:00,"@mebank is as stupid as it can get, so if you are thinking of opening an account stay away from them.",twitter/mention,TheDadhiwala,https://twitter.com/TheDadhiwala/status/1417342757434134528
13,2021-07-20 02:43:37+00:00,@mebank Call wait times are extraordinary… I just spent 1hr 40mins on hold and gave up!,twitter/mention,Hungry4Golf,https://twitter.com/Hungry4Golf/status/1417314220710850567
14,2021-07-20 02:41:29+00:00,"@mebank Hi Christine, this is the link I was using https://t.co/xbE7qZvtP5",twitter/mention,saharadessert_,https://twitter.com/saharadessert_/status/1417313685089832961
15,2021-07-20 01:34:00+00:00,"@mebank hi there, I’m trying to fill in an enquiry online but it’s not letting me despite following all the instructions?",twitter/mention,saharadessert_,https://twitter.com/saharadessert_/status/1417296702491430933
16,2021-07-19 10:30:19+00:00,"Thumbs up to Angela Swift, Clinical Midwife at #RBWH for becoming a FINALIST in our 2021 Positive Practice Environment Champion Award – proudly supported by @mebank! Read more or vote for her in the People’s Choice Award: https://t.co/iha6GE6r5O 

#QNMUAwards @MetroNorthHHS https://t.co/adBKTad4Oo",twitter/mention,qnmuofficial,https://twitter.com/qnmuofficial/status/1417069280915558402
